"Title","Canadian imports"
"Products","I - live animals and animal productS"
"","II - VEGETABLE PRODUCTS"
"","III - FATS, OILS, THEIR CLEAVAGE PRODUCTS AND WAXES"
"","IV - FOOD PRODUCTS, BEVERAGES, SPIRITS, VINEGAR AND TOBACCO PRODUCTS"
"","V - MINERAL PRODUCTS"
"","VI - PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES"
"","VII - PLASTICS, RUBBER AND ARTICLES MADE FROM THESE MATERIALS"
"","VIII - RAW HIDES, SKINS, LEATHER, FUR AND ARTICLES MADE FROM THESE MATERIALS"
"","IX - WOOD AND WOOD ARTICLES, CORK, STRAW AND OTHER PLAITING MATERIALS"
"","X - WOOD PULP, PAPER AND PAPER ARTICLES"
"","XI - TEXTILES AND TEXTILE ARTICLES"
"","XII - FOOTWEAR, HEADWEAR, UMBRELLAS, CANES AND SIMILAR ACCESSORIES"
"","XIII - GLASS, GLASSWARE;  ARTICLES OF CERAMICS, STONE AND SIMILAR MATERIALS"
"","XIV - PEARLS, PRECIOUS METALS OR STONES, COINS AND JEWELLERY"
"","XV - BASE METALS AND ARTICLES OF BASE METAL"
"","XVI - MACHINERY;  MECHANICAL,  ELECTRICAL AND ELECTRONIC APPLIANCES OR EQUIPMENT"
"","XVII - VEHICLES, AIRCRAFT, VESSELS AND OTHER TRANSPORTATION EQUIPMENT"
"","XVIII - CLOCKS, WATCHES AND SPECIALIZED INSTRUMENTATION"
"","XIX - ARMS AND AMMUNITION"
"","XX - MISCELLANEOUS MANUFACTURED ARTICLES"
"","XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES"
"","HS 98 - Special classification provisions - non commercial"
"","HS 99 - Special classification provisions - commercial"
"Origin","All countries (detailed)"
"Destination","Canada"
"Period","Latest 10 years"
"Units","Value in  canadian dollars"

"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Nauru","351485","264470","198225","317868","393277","66636","235246","336072","2183296","3843227"
"Syria","917755","1396897","1179607","1952418","2829203","3514897","2973008","3005042","4494841","3735087"
"Burkina Faso","36376487","41094156","701849","15513284","17107623","46287255","2694688","81259433","2777420","3438309"
"Benin","18102","259794","374191","1304346","1082062","593898","649485","5990436","4712057","3437712"
"Belize","3714542","2020371","1812473","1920910","1354899","1629054","2972586","6297430","4198979","3262609"
"Uzbekistan","375713","408367","426519","697472","1935147","143086117","253680630","334808524","111421268","3173914"
"Rwanda","1150961","1841674","1621454","2518722","3598913","2378167","1758230","3989681","3665855","3044241"
"Sierra Leone","2820373","2383593","5722387","24005302","4250379","3521500","3235345","3459901","2004377","2960971"
"Cayman Islands","593199","2101323","2208583","6372573","1829308","3944371","3860120","5040016","3187335","2935997"
"Belarus (formerly Byelorussia)","35461930","96030206","39463228","75125702","65795178","23309261","32952337","16672540","4760560","2595248"
"Gabon","17946789","1205886","1547787","717281","1717440","1006053","2064075","2521389","2059499","2372657"
"Greenland","552333","665928","469911","495299","328219","3011829","1698165","2144251","2079460","2341636"
"Swaziland","1890784","1707281","1582756","2615259","1656638","5005005","1748700","2135634","2304972","2297702"
"Mongolia","2811740","1799750","2488587","3658429","3145163","1398702","1911946","2672558","3095372","2211793"
"Congo (formerly Brazzaville)","18159017","75183731","2424388","1712254","6927338","2893667","3278378","2648884","1724955","2162599"
"French Polynesia","1146525","1659051","1015884","1381324","1592940","1032310","1422714","1532357","1771061","2002419"
"Brunei Darussalam","4385305","2081935","5411185","7524226","392546","1849807","968612","618387","687645","1799847"
"Timor-Leste","2848500","3185645","4579415","5094381","5901261","6455056","7165489","13625174","2925818","1722047"
"Grenada","2210991","1577280","818920","1538565","849366","1618769","2388601","1608610","2038709","1567891"
"Seychelles","4660111","1121509","784025","815362","594895","1098886","2161722","1820774","1222541","1520448"
"Iraq","252539","1443261","70838661","439139","410224","495530","1107433","529243","776249","1342556"
"Niger","1860454","1778679","1535216","1900307","1776590","168721989","74295530","5972363","3433250","1253339"
"Malawi","3104323","4764881","2496478","874136","1264108","795095","1023700","2396858","2014380","1113812"
"Saint Kitts and Nevis","4032698","2970327","3448937","2710062","3176142","2452138","2946910","1940631","1363751","1078077"
"Tajikistan","41740","17505","265838","1098458","248973","102146","296153","67616","64623","1011806"
"Kyrgyzstan","248794","202757","356459","370015","457704","626071","801405","435205","367245","972620"
"Saint Lucia","242237","511727","464647","240572","659237","1010268","931650","1264558","841061","913780"
"Montenegro","677287","598773","3218908","4350986","557922","4816788","11750915","7103322","924373","863902"
"Burundi","518782","355605","274832","484509","997027","565332","520351","650319","1667605","801609"
"Maldives","1092635","1489790","444912","852207","2165408","2630068","1326558","576304","576364","795699"
"Angola","664770927","3664866","169108245","696280","28106137","51711","396741","58964377","143123","707202"
"Bhutan","340229","22842","512856","120097","205864","224657","28516","27146","18500","647312"
"Cape Verde","91034","85471","140212","246692","100656","423918","412249","415030","211737","637985"
"Antigua and Barbuda","399297","214729","281973","184117","422503","144345","408137","543575","280847","600832"
"Djibouti","11868","64491","677006","1296583","152847","479362","407829","333813","522287","551164"
"Comoros","100932","47399","91256","217854","658772","800772","32696","678632","719249","469726"
"Somalia","313203","290202","311311","779541","1004062","432061","394048","418382","390388","443472"
"Falkland Islands","886186","1193067","62302","922626","138077","97272","40322","325861","40406","411096"
"Bermuda","1794080","3905289","1616483","1127717","438055","484019","559161","4226379","935652","383783"
"Christmas Island","26769","30914","91782","138231","81462","453467","516710","423952","259837","381981"
"Andorra","274329","476866","791604","553863","582723","150026","143612","348782","913340","368025"
"Dominica","727317","230742","396871","184562","2190676","304674","612766","361682","314825","355584"
"Vanuatu (New Hebrides)","40074","266422","358185","34050","41798","44249","67446","179636","206070","352724"
"Sudan","30781096","350214","245765","490914","506047","698842","401031","379020","265962","345951"
"Turks and Caicos Islands","842951","147717","107081","36006","118396","86215","174716","618080","57953","315957"
"Niue","225356","42978","53823","46396","20436","63604","153542","168511","390995","288924"
"Pitcairn Island","19432","6961","19668","231733","515515","300896","69485","134515","301162","287188"
"Guam","256170","66473","167553","209303","173327","146155","73181","544239","167026","260127"
"Tonga","9777","8244","41868","104954","155232","47525","129943","403880","270194","257893"
"Samoa (Western)","47067","359071","207337","371850","268962","149691","124888","481015","116429","246030"
"Yemen","291702","191759","165214","760940","1124140","675057","490643","186328","236484","238946"
"Saint Vincent and the Grenadines","109689","143345","71480","1888303","69731","113825","75364","78433","201680","227824"
"","","","","","7694","10946","99872","373370","573704","224227"
"British Virgin Islands","1520377","937872","2867994","1392263","1675279","902270","289395","249978","582963","221273"
"Libya","14221220","7944138","8574848","77544753","88684736","60336","218453","152817","151548","212790"
"Central African Republic","373468","153119","165348","217462","127190","195632","238880","359417","923223","188992"
"Sao Tomé-Principe","20328","23393","21032","59953","85621","335042","443482","100527","74519","174499"
"South Sudan","421","2513","4010","61604","151","3430","12716","2034","83558","145037"
"Cocos (Keeling) Islands","28780","76475","72107","151920","202695","117422","608720","222338","168940","140014"
"Montserrat","233245","66762","164288","210602","257776","167493","7193739","193149","160445","135842"
"American Samoa","522355","1208574","726732","844317","1405586","694424","670612","251769","109025","134147"
"British Indian Ocean Territories","22039","12833","139099","97729","46729","54152","247690","35439","66575","117992"
"Kiribati","30710","15959","246345","623573","481604","886003","597244","571351","455599","103486"
"Guinea-Bissau","3167","18804","21785","25476","69776","25492","13015","21591","8256","102954"
"Curacao","5332529","3288990","1049327","80111","696352","666279","61943","61587","83654","101915"
"Gambia","158459","167558","584611","996509","778883","262303","521324","166075","203310","101517"
"Aruba","54182414","24703437","29256701","173614","1065637","58062","28196","40000","120817","99296"
"Cook Islands","112259","122428","58241","38469","82997","61930","60589","38118","50966","98001"
"Antarctica","222524","214675","125735","117956","218622","64865","130201","161144","48061","86855"
"Saint Helena","163025","1024114","1653193","806925","72304","97078","845115","126826","70532","74174"
"Chad","203880","342103","313093","391185","74019","136698","98784","143950","96064","68223"
